date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:27:30	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1703171179-ssl-df	https://red-hat-hacker-template-sai.netlify.app/robots.txt		(from )
22:27:30	16488/16488	---MCZ	200	added ('OK')	text/html	etag:%22768d9cc7f5b1d41d5f68accc4d9e35f5-ssl-df%22	https://red-hat-hacker-template-sai.netlify.app/	C:/Users/91955/Desktop/spyderalpha/red-hat-hacker-template-sai.netlify.app/index.html	(from )
22:27:31	17248/17248	---MCZ	200	added ('OK')	text/css	etag:%22889b9fdd576dc1ee48ba8082ab5dd34e-ssl-df%22	https://red-hat-hacker-template-sai.netlify.app/css/style.css	C:/Users/91955/Desktop/spyderalpha/red-hat-hacker-template-sai.netlify.app/css/style.css	(from https://red-hat-hacker-template-sai.netlify.app/)
22:27:31	37/37	---M--	200	added ('OK')	text/css	etag:%22b1919ea3384344eb98dd33b5a784983b-ssl%22	https://red-hat-hacker-template-sai.netlify.app/css/skins/color-red.css	C:/Users/91955/Desktop/spyderalpha/red-hat-hacker-template-sai.netlify.app/css/skins/color-red.css	(from https://red-hat-hacker-template-sai.netlify.app/)
22:27:32	101894/101894	---M-Z	200	added ('OK')	text/css	etag:%226373d4a6-545d%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.1/css/all.min.css	C:/Users/91955/Desktop/spyderalpha/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.1/css/all.min.css	(from https://red-hat-hacker-template-sai.netlify.app/)
22:27:32	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1703171179-ssl-df	https://red-hat-hacker-template-sai.netlify.app/css/style-switcher.css	C:/Users/91955/Desktop/spyderalpha/red-hat-hacker-template-sai.netlify.app/css/style-switcher.3.delayed	(from https://red-hat-hacker-template-sai.netlify.app/)
22:27:32	34047/34047	---M--	200	added ('OK')	image/png	etag:%229b2e7513a583dadb2ee3fc0960a7709c-ssl%22	https://red-hat-hacker-template-sai.netlify.app/images/sairedanon.png	C:/Users/91955/Desktop/spyderalpha/red-hat-hacker-template-sai.netlify.app/images/sairedanon.png	(from https://red-hat-hacker-template-sai.netlify.app/)
22:27:33	1732/1732	---M-Z	200	added ('OK')	application/javascript	etag:%2226edde9692310700fe7cb5ecec409db4-ssl-df%22	https://red-hat-hacker-template-sai.netlify.app/js/matrix.js	C:/Users/91955/Desktop/spyderalpha/red-hat-hacker-template-sai.netlify.app/js/matrix.js	(from https://red-hat-hacker-template-sai.netlify.app/)
22:27:33	11792/11792	---M-Z	200	added ('OK')	application/javascript	etag:%22605e8bc2-2e10%22	https://cdnjs.cloudflare.com/ajax/libs/typed.js/2.0.12/typed.min.js	C:/Users/91955/Desktop/spyderalpha/cdnjs.cloudflare.com/ajax/libs/typed.js/2.0.12/typed.min.js	(from https://red-hat-hacker-template-sai.netlify.app/)
22:27:34	2242/2242	---M-Z	200	added ('OK')	application/javascript	etag:%22fe4cbc0e4b03204725291cac905632ac-ssl-df%22	https://red-hat-hacker-template-sai.netlify.app/js/script.js	C:/Users/91955/Desktop/spyderalpha/red-hat-hacker-template-sai.netlify.app/js/script.js	(from https://red-hat-hacker-template-sai.netlify.app/)
